issue-number,id,actor,event,commit_id,commit_url,created_at,total,additions,deletions
33602,3061722275,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",referenced,ca8e025cdf971b03b5a5c83bb1dc712839da89f0,https://api.github.com/repos/pytorch/pytorch/commits/ca8e025cdf971b03b5a5c83bb1dc712839da89f0,2020-02-21T19:53:18Z,2,1,1
33544,3062212469,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",closed,16d6c17845426294274850f9161e292345f2afa5,https://api.github.com/repos/pytorch/pytorch/commits/16d6c17845426294274850f9161e292345f2afa5,2020-02-21T23:11:28Z,16,3,13
33544,3083148979,"{'login': 'hczhu', 'id': 2289363, 'node_id': 'MDQ6VXNlcjIyODkzNjM=', 'avatar_url': 'https://avatars0.githubusercontent.com/u/2289363?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/hczhu', 'html_url': 'https://github.com/hczhu', 'followers_url': 'https://api.github.com/users/hczhu/followers', 'following_url': 'https://api.github.com/users/hczhu/following{/other_user}', 'gists_url': 'https://api.github.com/users/hczhu/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/hczhu/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/hczhu/subscriptions', 'organizations_url': 'https://api.github.com/users/hczhu/orgs', 'repos_url': 'https://api.github.com/users/hczhu/repos', 'events_url': 'https://api.github.com/users/hczhu/events{/privacy}', 'received_events_url': 'https://api.github.com/users/hczhu/received_events', 'type': 'User', 'site_admin': False}",referenced,377688b06402263ee053a61c8916c405db65fdb9,https://api.github.com/repos/pytorch/pytorch/commits/377688b06402263ee053a61c8916c405db65fdb9,2020-02-28T18:58:23Z,16,3,13
33422,3058030645,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",referenced,1a2574734222193c344dffb7904def10db18b874,https://api.github.com/repos/pytorch/pytorch/commits/1a2574734222193c344dffb7904def10db18b874,2020-02-20T20:20:00Z,17,16,1
33401,3048438595,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",closed,4c8064c9e14d7118296b5c378d80fde63a62aeb7,https://api.github.com/repos/pytorch/pytorch/commits/4c8064c9e14d7118296b5c378d80fde63a62aeb7,2020-02-18T19:04:33Z,148,13,135
33300,3062533162,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",referenced,8291e06f8fb14a09e6c3b7a740a182250069242c,https://api.github.com/repos/pytorch/pytorch/commits/8291e06f8fb14a09e6c3b7a740a182250069242c,2020-02-22T06:25:07Z,24,17,7
33300,3083149043,"{'login': 'hczhu', 'id': 2289363, 'node_id': 'MDQ6VXNlcjIyODkzNjM=', 'avatar_url': 'https://avatars0.githubusercontent.com/u/2289363?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/hczhu', 'html_url': 'https://github.com/hczhu', 'followers_url': 'https://api.github.com/users/hczhu/followers', 'following_url': 'https://api.github.com/users/hczhu/following{/other_user}', 'gists_url': 'https://api.github.com/users/hczhu/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/hczhu/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/hczhu/subscriptions', 'organizations_url': 'https://api.github.com/users/hczhu/orgs', 'repos_url': 'https://api.github.com/users/hczhu/repos', 'events_url': 'https://api.github.com/users/hczhu/events{/privacy}', 'received_events_url': 'https://api.github.com/users/hczhu/received_events', 'type': 'User', 'site_admin': False}",referenced,01372b120c207149ae0f819534cacdd1c92b84ce,https://api.github.com/repos/pytorch/pytorch/commits/01372b120c207149ae0f819534cacdd1c92b84ce,2020-02-28T18:58:24Z,24,17,7
33270,3036545089,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",referenced,5b922918d023126ad1f468c68577c9b599ad202d,https://api.github.com/repos/pytorch/pytorch/commits/5b922918d023126ad1f468c68577c9b599ad202d,2020-02-13T21:12:56Z,1,1,0
33270,3057290649,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",closed,ffe327f7d9c0bf3f6d2fc64fd4dfb8b2c2013be8,https://api.github.com/repos/pytorch/pytorch/commits/ffe327f7d9c0bf3f6d2fc64fd4dfb8b2c2013be8,2020-02-20T17:10:55Z,16,6,10
33240,3040045651,"{'login': 'facebook-github-bot', 'id': 6422482, 'node_id': 'MDQ6VXNlcjY0MjI0ODI=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/6422482?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/facebook-github-bot', 'html_url': 'https://github.com/facebook-github-bot', 'followers_url': 'https://api.github.com/users/facebook-github-bot/followers', 'following_url': 'https://api.github.com/users/facebook-github-bot/following{/other_user}', 'gists_url': 'https://api.github.com/users/facebook-github-bot/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/facebook-github-bot/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/facebook-github-bot/subscriptions', 'organizations_url': 'https://api.github.com/users/facebook-github-bot/orgs', 'repos_url': 'https://api.github.com/users/facebook-github-bot/repos', 'events_url': 'https://api.github.com/users/facebook-github-bot/events{/privacy}', 'received_events_url': 'https://api.github.com/users/facebook-github-bot/received_events', 'type': 'User', 'site_admin': False}",referenced,e9e9331927f2200193c05df25ca6a7ea202b629e,https://api.github.com/repos/pytorch/pytorch/commits/e9e9331927f2200193c05df25ca6a7ea202b629e,2020-02-14T20:33:03Z,15,8,7
