issue-number,id,actor,event,commit_id,commit_url,created_at,total,additions,deletions,IssueNumber,,
16294,2992326935,"{'login': 'agramfort', 'id': 161052, 'node_id': 'MDQ6VXNlcjE2MTA1Mg==', 'avatar_url': 'https://avatars2.githubusercontent.com/u/161052?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/agramfort', 'html_url': 'https://github.com/agramfort', 'followers_url': 'https://api.github.com/users/agramfort/followers', 'following_url': 'https://api.github.com/users/agramfort/following{/other_user}', 'gists_url': 'https://api.github.com/users/agramfort/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/agramfort/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/agramfort/subscriptions', 'organizations_url': 'https://api.github.com/users/agramfort/orgs', 'repos_url': 'https://api.github.com/users/agramfort/repos', 'events_url': 'https://api.github.com/users/agramfort/events{/privacy}', 'received_events_url': 'https://api.github.com/users/agramfort/received_events', 'type': 'User', 'site_admin': False}",referenced,6d2b7bc6da26249cfcc99a45ee78a76b459fc3da,https://api.github.com/repos/scikit-learn/scikit-learn/commits/6d2b7bc6da26249cfcc99a45ee78a76b459fc3da,2020-01-30T08:04:21Z,4,2,2,16294,,16294
16294,2992326935,"{'login': 'agramfort', 'id': 161052, 'node_id': 'MDQ6VXNlcjE2MTA1Mg==', 'avatar_url': 'https://avatars2.githubusercontent.com/u/161052?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/agramfort', 'html_url': 'https://github.com/agramfort', 'followers_url': 'https://api.github.com/users/agramfort/followers', 'following_url': 'https://api.github.com/users/agramfort/following{/other_user}', 'gists_url': 'https://api.github.com/users/agramfort/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/agramfort/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/agramfort/subscriptions', 'organizations_url': 'https://api.github.com/users/agramfort/orgs', 'repos_url': 'https://api.github.com/users/agramfort/repos', 'events_url': 'https://api.github.com/users/agramfort/events{/privacy}', 'received_events_url': 'https://api.github.com/users/agramfort/received_events', 'type': 'User', 'site_admin': False}",referenced,6d2b7bc6da26249cfcc99a45ee78a76b459fc3da,https://api.github.com/repos/scikit-learn/scikit-learn/commits/6d2b7bc6da26249cfcc99a45ee78a76b459fc3da,2020-01-30T08:04:21Z,4,2,2,15818,,15818
15818,2917686151,"{'login': 'ogrisel', 'id': 89061, 'node_id': 'MDQ6VXNlcjg5MDYx', 'avatar_url': 'https://avatars0.githubusercontent.com/u/89061?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ogrisel', 'html_url': 'https://github.com/ogrisel', 'followers_url': 'https://api.github.com/users/ogrisel/followers', 'following_url': 'https://api.github.com/users/ogrisel/following{/other_user}', 'gists_url': 'https://api.github.com/users/ogrisel/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ogrisel/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ogrisel/subscriptions', 'organizations_url': 'https://api.github.com/users/ogrisel/orgs', 'repos_url': 'https://api.github.com/users/ogrisel/repos', 'events_url': 'https://api.github.com/users/ogrisel/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ogrisel/received_events', 'type': 'User', 'site_admin': False}",referenced,4d5407c89fb2b25ef5cba90470cbdaecf10064cc,https://api.github.com/repos/scikit-learn/scikit-learn/commits/4d5407c89fb2b25ef5cba90470cbdaecf10064cc,2020-01-02T13:13:35Z,15,9,6,15604,,15604
15818,2917898479,"{'login': 'ogrisel', 'id': 89061, 'node_id': 'MDQ6VXNlcjg5MDYx', 'avatar_url': 'https://avatars0.githubusercontent.com/u/89061?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ogrisel', 'html_url': 'https://github.com/ogrisel', 'followers_url': 'https://api.github.com/users/ogrisel/followers', 'following_url': 'https://api.github.com/users/ogrisel/following{/other_user}', 'gists_url': 'https://api.github.com/users/ogrisel/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ogrisel/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ogrisel/subscriptions', 'organizations_url': 'https://api.github.com/users/ogrisel/orgs', 'repos_url': 'https://api.github.com/users/ogrisel/repos', 'events_url': 'https://api.github.com/users/ogrisel/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ogrisel/received_events', 'type': 'User', 'site_admin': False}",referenced,e5698bde9a8b719514bf39e6e5d58f90cfe5bc01,https://api.github.com/repos/scikit-learn/scikit-learn/commits/e5698bde9a8b719514bf39e6e5d58f90cfe5bc01,2020-01-02T14:48:58Z,3317,2087,1230,14587,,14587
15604,3013282788,"{'login': 'jnothman', 'id': 78827, 'node_id': 'MDQ6VXNlcjc4ODI3', 'avatar_url': 'https://avatars2.githubusercontent.com/u/78827?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jnothman', 'html_url': 'https://github.com/jnothman', 'followers_url': 'https://api.github.com/users/jnothman/followers', 'following_url': 'https://api.github.com/users/jnothman/following{/other_user}', 'gists_url': 'https://api.github.com/users/jnothman/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jnothman/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jnothman/subscriptions', 'organizations_url': 'https://api.github.com/users/jnothman/orgs', 'repos_url': 'https://api.github.com/users/jnothman/repos', 'events_url': 'https://api.github.com/users/jnothman/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jnothman/received_events', 'type': 'User', 'site_admin': False}",closed,ae9eaf83a123c033975d0f69a8217e6699951851,https://api.github.com/repos/scikit-learn/scikit-learn/commits/ae9eaf83a123c033975d0f69a8217e6699951851,2020-02-06T10:18:11Z,155,94,61,14192,,14192
14587,2556609652,"{'login': 'adrinjalali', 'id': 1663864, 'node_id': 'MDQ6VXNlcjE2NjM4NjQ=', 'avatar_url': 'https://avatars3.githubusercontent.com/u/1663864?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/adrinjalali', 'html_url': 'https://github.com/adrinjalali', 'followers_url': 'https://api.github.com/users/adrinjalali/followers', 'following_url': 'https://api.github.com/users/adrinjalali/following{/other_user}', 'gists_url': 'https://api.github.com/users/adrinjalali/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/adrinjalali/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/adrinjalali/subscriptions', 'organizations_url': 'https://api.github.com/users/adrinjalali/orgs', 'repos_url': 'https://api.github.com/users/adrinjalali/repos', 'events_url': 'https://api.github.com/users/adrinjalali/events{/privacy}', 'received_events_url': 'https://api.github.com/users/adrinjalali/received_events', 'type': 'User', 'site_admin': False}",referenced,a9736de108731a89347cdb0133029185416e2ff2,https://api.github.com/repos/scikit-learn/scikit-learn/commits/a9736de108731a89347cdb0133029185416e2ff2,2019-08-14T13:33:57Z,4,3,1,13698,,13698
14192,2444247965,"{'login': 'rth', 'id': 630936, 'node_id': 'MDQ6VXNlcjYzMDkzNg==', 'avatar_url': 'https://avatars0.githubusercontent.com/u/630936?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rth', 'html_url': 'https://github.com/rth', 'followers_url': 'https://api.github.com/users/rth/followers', 'following_url': 'https://api.github.com/users/rth/following{/other_user}', 'gists_url': 'https://api.github.com/users/rth/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rth/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rth/subscriptions', 'organizations_url': 'https://api.github.com/users/rth/orgs', 'repos_url': 'https://api.github.com/users/rth/repos', 'events_url': 'https://api.github.com/users/rth/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rth/received_events', 'type': 'User', 'site_admin': False}",referenced,f339609ab80ee79924cc739edc774182f4870c7c,https://api.github.com/repos/scikit-learn/scikit-learn/commits/f339609ab80ee79924cc739edc774182f4870c7c,2019-06-27T13:21:28Z,4,3,1,13691,,13691
13698,2368291760,"{'login': 'jnothman', 'id': 78827, 'node_id': 'MDQ6VXNlcjc4ODI3', 'avatar_url': 'https://avatars2.githubusercontent.com/u/78827?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jnothman', 'html_url': 'https://github.com/jnothman', 'followers_url': 'https://api.github.com/users/jnothman/followers', 'following_url': 'https://api.github.com/users/jnothman/following{/other_user}', 'gists_url': 'https://api.github.com/users/jnothman/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jnothman/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jnothman/subscriptions', 'organizations_url': 'https://api.github.com/users/jnothman/orgs', 'repos_url': 'https://api.github.com/users/jnothman/repos', 'events_url': 'https://api.github.com/users/jnothman/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jnothman/received_events', 'type': 'User', 'site_admin': False}",referenced,db48ebce60b2a4e07139402ce1f92107618b10f7,https://api.github.com/repos/scikit-learn/scikit-learn/commits/db48ebce60b2a4e07139402ce1f92107618b10f7,2019-05-27T04:31:55Z,50,42,8,13609,,13609
13691,2372324945,"{'login': 'jnothman', 'id': 78827, 'node_id': 'MDQ6VXNlcjc4ODI3', 'avatar_url': 'https://avatars2.githubusercontent.com/u/78827?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jnothman', 'html_url': 'https://github.com/jnothman', 'followers_url': 'https://api.github.com/users/jnothman/followers', 'following_url': 'https://api.github.com/users/jnothman/following{/other_user}', 'gists_url': 'https://api.github.com/users/jnothman/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jnothman/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jnothman/subscriptions', 'organizations_url': 'https://api.github.com/users/jnothman/orgs', 'repos_url': 'https://api.github.com/users/jnothman/repos', 'events_url': 'https://api.github.com/users/jnothman/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jnothman/received_events', 'type': 'User', 'site_admin': False}",referenced,be03467b9cdcdcd6940350195d23310f992cb6d7,https://api.github.com/repos/scikit-learn/scikit-learn/commits/be03467b9cdcdcd6940350195d23310f992cb6d7,2019-05-28T15:56:59Z,38,35,3,13566,,13566
13609,2576019082,"{'login': 'jnothman', 'id': 78827, 'node_id': 'MDQ6VXNlcjc4ODI3', 'avatar_url': 'https://avatars2.githubusercontent.com/u/78827?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jnothman', 'html_url': 'https://github.com/jnothman', 'followers_url': 'https://api.github.com/users/jnothman/followers', 'following_url': 'https://api.github.com/users/jnothman/following{/other_user}', 'gists_url': 'https://api.github.com/users/jnothman/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jnothman/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jnothman/subscriptions', 'organizations_url': 'https://api.github.com/users/jnothman/orgs', 'repos_url': 'https://api.github.com/users/jnothman/repos', 'events_url': 'https://api.github.com/users/jnothman/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jnothman/received_events', 'type': 'User', 'site_admin': False}",referenced,bb208d3bf6e77a4408c00b5fb6a6b7ce674b8912,https://api.github.com/repos/scikit-learn/scikit-learn/commits/bb208d3bf6e77a4408c00b5fb6a6b7ce674b8912,2019-08-22T10:41:46Z,56,54,2,13451,,13451
