issue-number,id,actor,event,commit_id,commit_url,created_at,total,additions,deletions
36721,3.04E+09,"{'login': 'mihaimaruseac', 'id': 323199, 'node_id': 'MDQ6VXNlcjMyMzE5OQ==', 'avatar_url': 'https://avatars0.githubusercontent.com/u/323199?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mihaimaruseac', 'html_url': 'https://github.com/mihaimaruseac', 'followers_url': 'https://api.github.com/users/mihaimaruseac/followers', 'following_url': 'https://api.github.com/users/mihaimaruseac/following{/other_user}', 'gists_url': 'https://api.github.com/users/mihaimaruseac/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mihaimaruseac/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mihaimaruseac/subscriptions', 'organizations_url': 'https://api.github.com/users/mihaimaruseac/orgs', 'repos_url': 'https://api.github.com/users/mihaimaruseac/repos', 'events_url': 'https://api.github.com/users/mihaimaruseac/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mihaimaruseac/received_events', 'type': 'User', 'site_admin': False}",referenced,6737d443fd27fe3c0fdf27914706d934b25124dc,https://api.github.com/repos/tensorflow/tensorflow/commits/6737d443fd27fe3c0fdf27914706d934b25124dc,2020-02-13T17:10:05Z,47,23,24
36721,3.04E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,6737d443fd27fe3c0fdf27914706d934b25124dc,https://api.github.com/repos/tensorflow/tensorflow/commits/6737d443fd27fe3c0fdf27914706d934b25124dc,2020-02-13T19:09:06Z,47,23,24
36691,3.04E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,a15fe8f6066932e53c171519a011282cdb6ea451,https://api.github.com/repos/tensorflow/tensorflow/commits/a15fe8f6066932e53c171519a011282cdb6ea451,2020-02-13T23:05:32Z,2,1,1
36624,3.04E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,619ca02f2d9ff61aedf7de6e6b43116e859f6913,https://api.github.com/repos/tensorflow/tensorflow/commits/619ca02f2d9ff61aedf7de6e6b43116e859f6913,2020-02-15T00:30:27Z,45,20,25
36533,3.05E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,42b80a5229a01394c23b8aac32aa2f345044f640,https://api.github.com/repos/tensorflow/tensorflow/commits/42b80a5229a01394c23b8aac32aa2f345044f640,2020-02-19T07:08:41Z,1,1,0
36510,3.04E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,d7a47313012c9ab295f5729665342aa07b55a4a7,https://api.github.com/repos/tensorflow/tensorflow/commits/d7a47313012c9ab295f5729665342aa07b55a4a7,2020-02-14T02:09:08Z,13,7,6
36474,3.02E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,139cc09ea1cee1c69bcb27022199899db5cdd9e5,https://api.github.com/repos/tensorflow/tensorflow/commits/139cc09ea1cee1c69bcb27022199899db5cdd9e5,2020-02-10T15:04:15Z,14,10,4
36457,3.03E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",closed,ea7b488a255187cabf1486f55d12871e3f3e46b5,https://api.github.com/repos/tensorflow/tensorflow/commits/ea7b488a255187cabf1486f55d12871e3f3e46b5,2020-02-11T17:42:02Z,15,9,6
36445,3.04E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,1e23c3491fb9b749101c1b628d1b716a6f9bad01,https://api.github.com/repos/tensorflow/tensorflow/commits/1e23c3491fb9b749101c1b628d1b716a6f9bad01,2020-02-14T09:55:02Z,23,20,3
36336,3.03E+09,"{'login': 'tensorflow-copybara', 'id': 33434372, 'node_id': 'MDQ6VXNlcjMzNDM0Mzcy', 'avatar_url': 'https://avatars1.githubusercontent.com/u/33434372?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tensorflow-copybara', 'html_url': 'https://github.com/tensorflow-copybara', 'followers_url': 'https://api.github.com/users/tensorflow-copybara/followers', 'following_url': 'https://api.github.com/users/tensorflow-copybara/following{/other_user}', 'gists_url': 'https://api.github.com/users/tensorflow-copybara/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tensorflow-copybara/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tensorflow-copybara/subscriptions', 'organizations_url': 'https://api.github.com/users/tensorflow-copybara/orgs', 'repos_url': 'https://api.github.com/users/tensorflow-copybara/repos', 'events_url': 'https://api.github.com/users/tensorflow-copybara/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tensorflow-copybara/received_events', 'type': 'User', 'site_admin': False}",referenced,901e6af5395b22a5f9bac10c2574a1c810fd3f10,https://api.github.com/repos/tensorflow/tensorflow/commits/901e6af5395b22a5f9bac10c2574a1c810fd3f10,2020-02-11T04:35:13Z,20,18,2
